29.93,82.09,0
29.91,82.19,0
29.92,82.21,0
29.95,82.4,0
29.91,82.39,0
29.92,82.32,0
29.92,82.27,0
29.92,82.3,0
29.91,82.35,0
29.92,82.24,0
29.93,82.25,0
29.92,82.2,0
29.9,82.24,0
29.88,82.33,0
29.87,82.34,0
29.89,82.41,0
29.87,82.43,0
29.86,82.44,0
29.83,82.46,0
29.85,82.72,0
29.88,82.69,0
29.88,82.61,0
29.88,82.43,0
29.88,82.4,0
29.87,82.38,0
29.85,82.47,0
29.87,82.48,0
29.85,82.51,0
29.84,82.83,0
29.87,82.95,0
29.86,83,0
29.89,82.96,0
29.94,83.09,0
29.97,82.85,0
30.03,82.61,0
30.05,82.37,0
30.06,82.13,0
30.07,82,0
30.07,81.97,0
30.07,81.94,0
30.04,81.89,0
30.05,81.89,0
30.04,81.86,0
30.04,81.89,0
30.06,81.89,0
30.07,81.91,0
30.07,81.88,0
30.06,81.78,0
30.07,81.78,0
30.1,81.73,0
30.08,81.72,0
30.09,81.81,0
30.05,81.79,0
30.04,81.79,0
30.04,81.87,0
30.03,81.92,0
30.01,81.91,0
30,81.94,0
29.99,82.02,0
30.01,81.99,0
30,82.04,0
29.99,82,0
29.99,82.02,0
29.98,82.05,0
29.98,82.04,0
29.96,82.09,0
29.97,82.05,0
29.99,82.07,0
29.97,82.09,0
29.95,82.09,0
29.95,82.09,0
29.96,82.25,0
30.01,82.27,0
30.02,82.31,0
30.03,82.16,0
30.04,82.08,0
30.04,81.98,0
30.06,81.88,0
30.07,81.85,0
30.05,81.76,0
30.08,81.72,0
30.08,81.71,0
30.07,81.75,0
30.07,81.71,0
30.07,81.71,0
30.08,81.7,0
30.07,81.74,0
30.06,81.75,0
30.07,81.73,0
30.08,81.69,0
30.09,81.74,0
30.08,81.73,0
30.09,81.59,0
30.08,81.56,0
30.1,81.6,0
30.08,81.62,0
30.08,81.61,0
30.08,81.64,0
30.08,81.62,0
30.07,81.61,0
30.09,81.62,0
30.08,81.56,0
30.05,81.57,0
30.01,81.58,0
30,81.67,0
29.98,81.76,0
29.96,81.79,0
29.95,81.89,0
29.92,81.92,0
29.91,81.92,0
29.92,82.05,0
29.9,82.05,0
29.9,82.07,0
29.89,82.21,0
29.92,82.28,0
29.91,82.23,0
29.9,82.23,0
29.91,82.16,0
29.93,82.12,0
29.93,82.07,0
29.94,82.04,0
29.95,82.05,0
29.95,81.97,0
29.96,81.96,0
29.97,81.91,0
29.97,81.99,0
29.96,81.88,0
29.96,81.93,0
29.98,81.88,0
29.99,81.93,0
29.97,81.89,0
29.99,81.83,0
30,81.86,0
29.97,81.88,0
34.69,66.22,1
34.35,67.18,1
37.03,66.66,1
41.19,57.47,1
45,49.8,1
47.89,43.42,1
49.76,40.76,1
49.89,38.98,1
49.89,38.43,1
51.14,37.2,1
50.86,37.04,1
49.78,37.36,1
48.64,38.6,1
46.9,40.13,1
45.62,42.03,1
44.58,43.94,1
43.29,45.47,1
42.55,47.27,1
43.56,46.79,1
43.11,46.65,1
41.97,47.88,1
42.13,49.02,1
41.27,49.58,1
40.7,50.65,1
40.17,51.58,1
39.04,53.24,1
38.75,55.57,1
38.28,55.86,1
37.71,56.69,1
37.3,57.61,1
36.84,58.64,1
36.41,59.96,1
36,60.83,1
35.58,61.97,1
35.16,62.92,1
34.85,63.99,1
34.47,64.99,1
34.12,66,1
33.75,66.97,1
33.44,67.91,1
33.18,68.8,1
32.94,69.51,1
32.74,70.31,1
32.49,70.99,1
32.32,71.63,1
32.17,72.26,1
32.03,72.73,1
31.89,73.21,1
31.75,73.68,1
31.67,74.11,1
31.56,74.47,1
31.48,74.8,1
31.4,75.18,1
31.33,75.43,1
30.67,78.06,1
30.64,78.11,1
30.63,78.33,1
30.62,78.47,1
30.58,78.51,1
30.6,78.63,1
30.56,78.74,1
30.52,78.75,1
31.14,76.14,1
31.08,76.36,1
31.02,76.59,1
30.97,76.77,1
